Date,Close
5/11/2018,11.95
5/14/2018,12.23
5/15/2018,12.45
5/16/2018,12.82
5/17/2018,12.82
5/18/2018,12.82
5/21/2018,12.99
5/22/2018,12.98
5/23/2018,13.1
5/24/2018,13.41
5/25/2018,13.54
5/29/2018,13.36
5/30/2018,13.82
5/31/2018,13.73
6/1/2018,14.4
6/4/2018,14.85
6/5/2018,14.85
6/6/2018,15.67
6/7/2018,14.89
6/8/2018,15.25
6/11/2018,15.73
6/12/2018,15.85
6/13/2018,16.32
6/14/2018,16.25
6/15/2018,16.34
6/18/2018,17.11
6/19/2018,16.69
6/20/2018,16.52
6/21/2018,15.65
6/22/2018,15.8
6/25/2018,15.11
6/26/2018,15.5
6/27/2018,14.97
6/28/2018,15.31
6/29/2018,14.99
7/2/2018,15.16
7/3/2018,15
7/5/2018,15.5
7/6/2018,16.36
7/9/2018,16.61
7/10/2018,16.55
7/11/2018,16.27
7/12/2018,16.56
7/13/2018,16.27
7/16/2018,16.58
7/17/2018,16.87
7/18/2018,16.85
7/19/2018,16.71
7/20/2018,16.5
7/23/2018,16.66
7/24/2018,16.19
7/25/2018,16.05
7/26/2018,18.35
7/27/2018,18.94
7/30/2018,19.42
7/31/2018,18.33
8/1/2018,18.48
8/2/2018,18.79
8/3/2018,18.49
8/6/2018,19.43
8/7/2018,19.56
8/8/2018,19.58
8/9/2018,19.1
8/10/2018,19.06
8/13/2018,19.73
8/14/2018,20.02
8/15/2018,19.7
8/16/2018,19.33
8/17/2018,19.77
8/20/2018,19.98
8/21/2018,20.4
8/22/2018,20.9
8/23/2018,22.29
8/24/2018,23.98
8/27/2018,25.26
8/28/2018,25.05
8/29/2018,25.2
8/30/2018,24.89
8/31/2018,25.17
9/4/2018,28.06
9/5/2018,28.51
9/6/2018,27.84
9/7/2018,27.38
9/10/2018,29.89
9/11/2018,30.1
9/12/2018,32.21
9/13/2018,30.48
9/14/2018,32.72
9/17/2018,32.43
9/18/2018,31.93
9/19/2018,31.21
9/20/2018,31.18
9/21/2018,31.02
9/24/2018,32.61
9/25/2018,32.57
9/26/2018,32.19
9/27/2018,32.59
9/28/2018,30.89
10/1/2018,31.42
10/2/2018,29.02
10/3/2018,28.43
10/4/2018,27.78
10/5/2018,27.35
10/8/2018,26.46
10/9/2018,27.24
10/10/2018,25
10/11/2018,25.3
10/12/2018,26.34
10/15/2018,26.26
10/16/2018,28.18
10/17/2018,27.3
10/18/2018,26.62
10/19/2018,23.66
10/22/2018,25.03
10/23/2018,25.09
10/24/2018,22.79
10/25/2018,19.27
10/26/2018,17.63
10/29/2018,16.85
10/30/2018,17.2
10/31/2018,18.21
11/1/2018,20.22
11/2/2018,20.23
11/5/2018,19.9
11/6/2018,20.68
11/7/2018,21.84
11/8/2018,21.2
11/9/2018,21.03
11/12/2018,19.03
11/13/2018,19.61
11/14/2018,20.81
11/15/2018,21.49
11/16/2018,20.66
11/19/2018,19.11
11/20/2018,19.21
11/21/2018,18.73
11/23/2018,19.38
11/26/2018,20.08
11/27/2018,21.05
11/28/2018,21.34
11/29/2018,21.43
11/30/2018,21.3
12/3/2018,23.71
12/4/2018,21.12
12/6/2018,21.3
12/7/2018,19.46
12/10/2018,19.99
12/11/2018,19.98
12/12/2018,20.48
12/13/2018,19.86
12/14/2018,19.9
12/17/2018,18.83
12/18/2018,19.5
12/19/2018,18.16
12/20/2018,17.94
12/21/2018,16.93
12/24/2018,16.65
12/26/2018,17.9
12/27/2018,17.49
12/28/2018,17.82
12/31/2018,18.46
1/2/2019,18.83
1/3/2019,17.05
1/4/2019,19
1/7/2019,20.57
1/8/2019,20.75
1/9/2019,20.19
1/10/2019,19.74
1/11/2019,20.27
1/14/2019,20.23
1/15/2019,20.38
1/16/2019,19.73
1/17/2019,20.25
1/18/2019,20.77
1/22/2019,19.76
1/23/2019,19.8
1/24/2019,20.85
1/25/2019,21.93
1/28/2019,20.18
1/29/2019,19.25
1/30/2019,23.09
1/31/2019,24.41
2/1/2019,24.51
2/4/2019,24.13
2/5/2019,23.31
2/6/2019,23.26
2/7/2019,22.67
2/8/2019,23.05
2/11/2019,22.96
2/12/2019,22.82
2/13/2019,22.85
2/14/2019,23.13
2/15/2019,23.68
2/19/2019,23.95
2/20/2019,23.95
2/21/2019,23.92
2/22/2019,24.36
2/25/2019,24.71
2/26/2019,24.21
2/27/2019,23.48
2/28/2019,23.53
3/1/2019,23.68
3/4/2019,23.37
3/5/2019,23.5
3/6/2019,22.41
3/7/2019,22.08
3/8/2019,22.01
3/11/2019,22.96
3/12/2019,23.49
3/13/2019,23.38
3/14/2019,22.82
3/15/2019,23.29
3/18/2019,23.25
3/19/2019,26
3/20/2019,25.7
3/21/2019,27.89
3/22/2019,26.37
3/25/2019,25.97
3/26/2019,25.69
3/27/2019,24.89
3/28/2019,25.06
3/29/2019,25.52
4/1/2019,26.36
4/2/2019,26.75
4/3/2019,29.02
4/4/2019,29.09
4/5/2019,28.98
4/8/2019,28.53
4/9/2019,27.24
4/10/2019,27.83
4/11/2019,27.79
4/12/2019,27.85
4/15/2019,27.33
4/16/2019,27.93
4/17/2019,27.49
4/18/2019,27.68
4/22/2019,28.18
4/23/2019,27.97
4/24/2019,28.46
4/25/2019,27.66
4/26/2019,27.88
4/29/2019,27.69
4/30/2019,27.63
5/1/2019,26.81
5/2/2019,28.29
5/3/2019,28.22
5/6/2019,27.42
5/7/2019,26.66
5/8/2019,27.09
